Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Cap on rotary encoder","The cap on rotary encoders that makes it easier to rotate it",1,2.30,"https://www.aliexpress.com/item/10000056483250.html","Aliexpress"
"rotary encoder","To type messages control everything",1,3.87,"https://www.aliexpress.com/item/10000056483250.html?spm=a2g0o.detail.0.0.211bL9qyL9qyD5&mp=1&pdp_npi=6%40dis%21USD%21USD+3.67%21USD+3.67%21%21USD+3.67%21%21%21%400b5e1a3817797320098301198e1126%2112000046133170768%21ct%21CZ%217428457144%21%211%210%21","Aliexpress"
"Screen","Actual screen all messages are shown on",1,3.94,"https://www.aliexpress.com/item/1005006862867338.html","Aliexpress"
"Mini HotPlate","only relitable one i found",1,39.56,"https://www.aliexpress.com/item/1005007987545003.html","Aliexpress"
"PCB + Stencil","Actual pcb which all components are on + Stencil",1,44.45,"https://jlcpcb.com","JLCPCB"
"LCSC ","all components needed for this project",1,54.20,"https://lcsc.com","LCSC"
